case,iteration,update_delta
1,1,1.800000000000e+01
1,2,1.800000000000e+01
1,3,9.186499186670e+00
1,4,4.640362415293e+00
1,5,2.415385107923e+00
1,6,1.287878167365e+00
1,7,4.495101758379e-01
1,8,1.739754029556e-01
1,9,4.381035192480e-02
1,10,1.276071957355e-02
1,11,4.101880690758e-03
1,12,1.315444005492e-03
1,13,4.141593837588e-04
1,14,1.319449679045e-04
1,15,2.522967436747e-05
1,16,6.142079520544e-06
1,17,1.965651556191e-06
1,18,6.141663959625e-07
1,19,1.965610536558e-07
1,20,6.141625163991e-08
1,21,1.965607054899e-08
1,22,6.824024012531e-09
1,23,1.501604174337e-09
1,24,4.639986173061e-10
1,25,1.501589963482e-10
1,26,4.640554607249e-11
2,1,1.800000000000e+01
2,2,1.720000000000e+01
2,3,1.112000000000e+01
2,4,5.846400409600e+00
2,5,3.685761490803e+00
2,6,1.544848089799e+00
2,7,7.291180549109e-01
2,8,3.795737562342e-01
2,9,8.218542844076e-02
2,10,3.002250236587e-02
2,11,1.558767368057e-02
2,12,3.372666190288e-03
2,13,1.209885689910e-03
2,14,6.276992195424e-04
2,15,1.358087343988e-04
2,16,4.848429918525e-05
2,17,2.514954121580e-05
2,18,5.313993035827e-06
2,19,1.208457810264e-06
2,20,5.765937274305e-07
2,21,1.217869893821e-07
2,22,3.841570617169e-09
2,23,1.776356839400e-13
3,1,1.800000000000e+01
3,2,1.800000000000e+01
3,3,1.023706604700e+01
3,4,5.367261011664e+00
3,5,2.774300178894e+00
3,6,1.808462840520e+00
3,7,5.974711795546e-01
3,8,2.999330857286e-01
3,9,1.468935472627e-01
3,10,4.352063392293e-02
3,11,2.204950022323e-02
3,12,5.705563259511e-03
3,13,3.752504858106e-03
3,14,7.758408012677e-04
3,15,3.806923143372e-04
3,16,8.468275193252e-05
3,17,4.607915058585e-05
3,18,9.766314008175e-06
3,19,5.408907554738e-06
3,20,1.111990243885e-06
3,21,6.209900575982e-07
3,22,1.247349175060e-07
3,23,7.010893909865e-08
3,24,1.382708347819e-08
3,25,7.811891578058e-09
3,26,1.518060344097e-09
3,27,8.612914825790e-10
3,28,1.653432946114e-10
3,29,9.413980706086e-11
4,1,1.800000000000e+01
4,2,1.620000000000e+01
4,3,1.079200000000e+01
4,4,5.492800409600e+00
4,5,3.206719754240e+00
4,6,1.249033818508e+00
4,7,5.706080395137e-01
4,8,2.973858326418e-01
4,9,6.465412699470e-02
4,10,2.447769700599e-02
4,11,1.226941484830e-02
4,12,2.611496322150e-03
4,13,9.975315022679e-04
4,14,4.948077742561e-04
4,15,1.047131570786e-04
4,16,3.823432756178e-05
4,17,1.983287503293e-05
4,18,4.191084052252e-06
4,19,1.088848222253e-06
4,20,4.394239425665e-07
4,21,9.281486867962e-08
4,22,9.309147230852e-09
4,23,1.953992523340e-13
5,1,1.800000000000e+01
5,2,1.800000000000e+01
5,3,1.617466560400e+01
5,4,6.671078012827e+00
5,5,3.470023976914e+00
5,6,1.415971701663e+00
5,7,8.290987638570e-01
5,8,3.786195161401e-01
5,9,9.528605124497e-02
5,10,2.465702093193e-02
5,11,6.888439292645e-03
5,12,1.937751103021e-03
5,13,5.832620047315e-04
5,14,1.726595673261e-04
5,15,5.410318165389e-05
5,16,1.642136340507e-05
5,17,5.241401105138e-06
5,18,1.608353230154e-06
5,19,5.173835759820e-07
5,20,1.594840384200e-07
5,21,5.146810622136e-08
5,22,1.589435782989e-08
5,23,5.136001846040e-09
5,24,1.587281417414e-09
5,25,6.186269274622e-10
5,26,1.032134377965e-10
5,27,3.038280738110e-11
6,1,1.800000000000e+01
6,2,1.800000000000e+01
6,3,1.157462645722e+01
6,4,2.567250000000e+00
6,5,1.140536468750e+00
6,6,3.661540312500e-01
6,7,1.626690138555e-01
6,8,5.222271870703e-02
6,9,2.320066810114e-02
6,10,7.448265255590e-03
6,11,3.308995287924e-03
6,12,1.062308832076e-03
6,13,4.719454529436e-04
6,14,1.515117971707e-04
6,15,6.731122022785e-05
6,16,2.160937007289e-05
6,17,9.600262785625e-06
6,18,3.082036407420e-06
6,19,1.369237473625e-06
6,20,4.395754444886e-07
6,21,1.952874981725e-07
6,22,6.269444696727e-08
6,23,2.785288444329e-08
6,24,8.941789531036e-09
6,25,3.972523643370e-09
6,26,1.275317629279e-09
6,27,5.665796720677e-10
6,28,1.818918349272e-10
6,29,8.081002533800e-11
