case,stage_order,stage,action,action_label,action_group
1,1,首次购件动作,buy_p1_test,购检部件1,购入并检测
1,2,第二购件动作,buy_p2_notest,购部件2不检,购入不检测
1,3,首次装配动作,assemble_notest_disassemble,装配 / 成品不检/拆解,不检成品并拆解
1,4,首次缺陷后动作,inspect_p2,检回收部件2,检测回收件
2,1,首次购件动作,buy_p1_test,购检部件1,购入并检测
2,2,第二购件动作,buy_p2_test,购检部件2,购入并检测
2,3,首次装配动作,assemble_notest_disassemble,装配 / 成品不检/拆解,不检成品并拆解
2,4,首次缺陷后动作,assemble_notest_disassemble,装配 / 成品不检/拆解,不检成品并拆解
3,1,首次购件动作,buy_p1_notest,购部件1不检,购入不检测
3,2,第二购件动作,buy_p2_notest,购部件2不检,购入不检测
3,3,首次装配动作,assemble_test_disassemble,装配 / 成品检/拆解,检测成品并拆解
3,4,首次缺陷后动作,inspect_p1,检回收部件1,检测回收件
4,1,首次购件动作,buy_p1_test,购检部件1,购入并检测
4,2,第二购件动作,buy_p2_test,购检部件2,购入并检测
4,3,首次装配动作,assemble_test_disassemble,装配 / 成品检/拆解,检测成品并拆解
4,4,首次缺陷后动作,assemble_test_disassemble,装配 / 成品检/拆解,检测成品并拆解
5,1,首次购件动作,buy_p2_test,购检部件2,购入并检测
5,2,第二购件动作,buy_p1_notest,购部件1不检,购入不检测
5,3,首次装配动作,assemble_notest_disassemble,装配 / 成品不检/拆解,不检成品并拆解
5,4,首次缺陷后动作,inspect_p1,检回收部件1,检测回收件
6,1,首次购件动作,buy_p1_notest,购部件1不检,购入不检测
6,2,第二购件动作,buy_p2_notest,购部件2不检,购入不检测
6,3,首次装配动作,assemble_notest_scrap,装配 / 成品不检/报废,不检成品并报废
6,4,首次缺陷后动作,buy_p1_notest,购部件1不检,购入不检测
