parameter,case,factor,expected_cost,expected_profit,profit_change_from_baseline,policy_signature,policy_changed,num_states,iterations,bellman_residual
defect_rates,1,0.80,35.329807869,20.670192131,1.747970909,buy_p1_notest>buy_p2_notest>assemble_notest_disassemble>inspect_p1,1,302,31,2.204103566328e-11
defect_rates,1,0.90,36.302966162,19.697033838,0.774812617,buy_p1_test>buy_p2_notest>assemble_notest_disassemble>inspect_p2,0,388,25,1.471534005759e-11
defect_rates,1,1.00,37.077778779,18.922221221,0.000000000,buy_p1_test>buy_p2_notest>assemble_notest_disassemble>inspect_p2,0,366,26,1.501376800661e-11
defect_rates,1,1.10,37.869328376,18.130671624,-0.791549597,buy_p1_test>buy_p2_notest>assemble_notest_disassemble>inspect_p2,0,582,27,1.599431698196e-11
defect_rates,1,1.20,38.678182460,17.321817540,-1.600403681,buy_p1_test>buy_p2_notest>assemble_notest_disassemble>inspect_p2,0,81,28,1.629274493098e-11
defect_rates,2,0.80,41.380952381,14.619047619,2.619047619,buy_p1_test>buy_p2_test>assemble_notest_disassemble>assemble_notest_disassemble,0,1830,24,0.000000000000e+00
defect_rates,2,0.90,42.658536585,13.341463415,1.341463415,buy_p1_test>buy_p2_test>assemble_notest_disassemble>assemble_notest_disassemble,0,430,22,7.105427357601e-14
defect_rates,2,1.00,44.000000000,12.000000000,0.000000000,buy_p1_test>buy_p2_test>assemble_notest_disassemble>assemble_notest_disassemble,0,303,23,3.552713678801e-14
defect_rates,2,1.10,45.410256410,10.589743590,-1.410256410,buy_p1_test>buy_p2_test>assemble_notest_disassemble>assemble_notest_disassemble,0,407,24,1.705302565824e-13
defect_rates,2,1.20,46.894736842,9.105263158,-2.894736842,buy_p1_test>buy_p2_test>assemble_notest_disassemble>assemble_notest_disassemble,0,539,26,4.973799150321e-14
defect_rates,3,0.80,37.495025544,18.504974456,1.851638338,buy_p1_notest>buy_p2_notest>assemble_test_disassemble>inspect_p1,0,302,31,3.109335011686e-11
defect_rates,3,0.90,38.408307629,17.591692371,0.938356252,buy_p1_notest>buy_p2_notest>assemble_test_disassemble>inspect_p1,0,388,32,1.811173433452e-11
defect_rates,3,1.00,39.346663882,16.653336118,0.000000000,buy_p1_notest>buy_p2_notest>assemble_test_disassemble>inspect_p1,0,366,29,1.788436065908e-11
defect_rates,3,1.10,40.127755301,15.872244699,-0.781091419,buy_p1_test>buy_p2_notest>assemble_test_disassemble>inspect_p2,1,582,27,2.884092964450e-11
defect_rates,3,1.20,40.860000631,15.139999369,-1.513336749,buy_p1_test>buy_p2_notest>assemble_test_disassemble>inspect_p2,1,81,28,1.632116664041e-11
defect_rates,4,0.80,39.047619048,16.952380952,2.202380952,buy_p1_test>buy_p2_test>assemble_test_disassemble>assemble_test_disassemble,0,1830,24,0.000000000000e+00
defect_rates,4,0.90,40.121951220,15.878048780,1.128048780,buy_p1_test>buy_p2_test>assemble_test_disassemble>assemble_test_disassemble,0,430,22,8.526512829121e-14
defect_rates,4,1.00,41.250000000,14.750000000,0.000000000,buy_p1_test>buy_p2_test>assemble_test_disassemble>assemble_test_disassemble,0,303,23,3.552713678801e-14
