factor,factor_label,level,strategy,expected_cost,expected_profit,feasible_count,infeasible_count
part_test_cost,零件检测成本,0.8,1111111111111101,137.333333,62.666667,17060,48476
part_test_cost,零件检测成本,1.0,1111111111111101,139.777778,60.222222,17060,48476
part_test_cost,零件检测成本,1.2,1111111111111101,142.222222,57.777778,17060,48476
part_defect,零件次品率,0.8,1111111111111101,137.966184,62.033816,17060,48476
part_defect,零件次品率,1.0,1111111111111101,139.777778,60.222222,17060,48476
part_defect,零件次品率,1.2,1111111111111101,141.671717,58.328283,17060,48476
final_defect,成品次品率,0.8,1111111111111101,138.376812,61.623188,17060,48476
final_defect,成品次品率,1.0,1111111111111101,139.777778,60.222222,17060,48476
final_defect,成品次品率,1.2,1111111111111101,141.242424,58.757576,17060,48476
exchange_loss,调换损失,0.8,1111111111111101,138.888889,61.111111,17060,48476
exchange_loss,调换损失,1.0,1111111111111101,139.777778,60.222222,17060,48476
exchange_loss,调换损失,1.2,1111111111111101,140.666667,59.333333,17060,48476
disassembly_cost,拆解成本,0.8,1111111111111101,139.155556,60.844444,17060,48476
disassembly_cost,拆解成本,1.0,1111111111111101,139.777778,60.222222,17060,48476
disassembly_cost,拆解成本,1.2,1111111111111101,140.4,59.6,17060,48476
