p,rate_0.05,rate_0.10,rate_0.20
0.0,0.0,0.0,0.0
0.000768,0.018317,1e-06,0.0
0.001536,0.07116,2e-05,0.0
0.002304,0.155496,9.7e-05,0.0
0.003072,0.268465,0.000299,0.0
0.00384,0.407372,0.000709,0.0
0.004608,0.569673,0.00143,0.0
0.005376,0.752978,0.002577,0.0
0.006144,0.955035,0.004276,0.0
0.006912,1.173728,0.006661,0.0
0.007679,1.40707,0.009874,0.0
0.008447,1.653196,0.014059,0.0
0.009215,1.910359,0.019364,0.0
0.009983,2.176922,0.025936,0.0
0.010751,2.451353,0.033925,0.0
0.011519,2.732223,0.043474,1e-06
0.012287,3.018195,0.054726,1e-06
0.013055,3.308026,0.067818,2e-06
0.013823,3.600559,0.082884,3e-06
0.014591,3.894717,0.10005,4e-06
0.015359,4.189502,0.119435,6e-06
0.016127,4.483991,0.141153,9e-06
0.016895,4.777329,0.165309,1.2e-05
0.017663,5.068729,0.191999,1.7e-05
0.018431,5.357466,0.221313,2.3e-05
0.019199,5.642874,0.253329,3.1e-05
0.019967,5.924345,0.288119,4.2e-05
0.020735,6.201322,0.325744,5.5e-05
0.021503,6.473302,0.366259,7.2e-05
0.02227,6.739825,0.409707,9.3e-05
0.023038,7.00048,0.456122,0.000119
0.023806,7.254895,0.505532,0.00015
0.024574,7.502741,0.557953,0.000189
0.025342,7.743725,0.613394,0.000236
0.02611,7.977589,0.671856,0.000292
0.026878,8.204109,0.733329,0.000359
0.027646,8.423093,0.7978,0.000439
0.028414,8.634376,0.865243,0.000533
0.029182,8.837824,0.935627,0.000643
0.02995,9.033326,1.008915,0.000771
0.030718,9.220796,1.085061,0.000921
0.031486,9.400171,1.164012,0.001094
0.032254,9.571408,1.245712,0.001293
0.033022,9.734486,1.330095,0.001522
0.03379,9.889399,1.417092,0.001784
0.034558,10.03616,1.506628,0.002081
0.035326,10.174797,1.598623,0.002419
0.036093,10.305354,1.692992,0.002801
0.036861,10.427887,1.789647,0.003231
0.037629,10.542464,1.888494,0.003715
0.038397,10.649166,1.989438,0.004256
0.039165,10.748084,2.092378,0.004861
0.039933,10.839318,2.197211,0.005534
0.040701,10.922977,2.303833,0.006282
0.041469,10.999177,2.412135,0.007111
0.042237,11.068045,2.522007,0.008027
0.043005,11.129709,2.633338,0.009036
0.043773,11.184306,2.746014,0.010147
0.044541,11.231979,2.859922,0.011366
0.045309,11.272873,2.974945,0.0127
0.046077,11.307138,3.090968,0.014159
0.046845,11.334928,3.207874,0.015749
0.047613,11.3564,3.325546,0.01748
0.048381,11.371713,3.443868,0.019361
0.049149,11.381027,3.562724,0.021401
0.049917,11.384506,3.681997,0.023608
0.050684,11.382313,3.801573,0.025994
0.051452,11.374613,3.921336,0.028568
0.05222,11.361572,4.041174,0.031339
0.052988,11.343355,4.160975,0.03432
0.053756,11.320127,4.280627,0.03752
0.054524,11.292053,4.400022,0.040951
0.055292,11.259298,4.519052,0.044624
0.05606,11.222026,4.637612,0.04855
0.056828,11.180398,4.755597,0.052741
0.057596,11.134577,4.872907,0.057209
0.058364,11.084721,4.989441,0.061966
0.059132,11.030989,5.105103,0.067024
0.0599,10.973537,5.219797,0.072396
0.060668,10.912519,5.333433,0.078094
0.061436,10.848087,5.445919,0.08413
0.062204,10.780392,5.557169,0.090519
0.062972,10.709581,5.667099,0.097271
0.06374,10.6358,5.775626,0.104401
0.064508,10.55919,5.882672,0.11192
0.065275,10.479893,5.988161,0.119843
0.066043,10.398045,6.09202,0.128182
0.066811,10.313782,6.194178,0.13695
0.067579,10.227236,6.294568,0.14616
0.068347,10.138536,6.393125,0.155824
0.069115,10.047808,6.489789,0.165957
0.069883,9.955176,6.5845,0.17657
0.070651,9.86076,6.677202,0.187676
0.071419,9.764679,6.767845,0.199288
0.072187,9.667046,6.856377,0.211418
0.072955,9.567975,6.942752,0.224079
0.073723,9.467574,7.026926,0.237282
0.074491,9.365948,7.108858,0.251039
0.075259,9.263202,7.188511,0.265363
0.076027,9.159435,7.265849,0.280264
0.076795,9.054745,7.340839,0.295754
0.077563,8.949226,7.413452,0.311843
0.078331,8.842969,7.483662,0.328543
0.079098,8.736064,7.551444,0.345863
0.079866,8.628597,7.616777,0.363814
0.080634,8.52065,7.679641,0.382405
0.081402,8.412304,7.740021,0.401645
0.08217,8.303638,7.797903,0.421544
0.082938,8.194725,7.853275,0.442109
0.083706,8.085638,7.906129,0.46335
0.084474,7.976448,7.956458,0.485273
0.085242,7.867222,8.004258,0.507886
0.08601,7.758024,8.049527,0.531196
0.086778,7.648916,8.092266,0.555209
0.087546,7.53996,8.132476,0.579931
0.088314,7.431211,8.170162,0.605367
0.089082,7.322727,8.205331,0.631522
0.08985,7.214558,8.237992,0.658401
0.090618,7.106757,8.268154,0.686007
0.091386,6.999371,8.29583,0.714344
0.092154,6.892447,8.321033,0.743414
0.092922,6.78603,8.34378,0.77322
0.093689,6.68016,8.364088,0.803763
0.094457,6.57488,8.381976,0.835044
0.095225,6.470227,8.397464,0.867064
0.095993,6.366237,8.410574,0.899823
0.096761,6.262944,8.421329,0.93332
0.097529,6.160383,8.429754,0.967554
0.098297,6.058582,8.435876,1.002523
0.099065,5.957573,8.43972,1.038225
0.099833,5.857381,8.441316,1.074656
0.100601,5.758034,8.440694,1.111813
0.101369,5.659556,8.437882,1.149692
0.102137,5.561969,8.432914,1.188288
0.102905,5.465294,8.425821,1.227596
0.103673,5.369553,8.416637,1.26761
0.104441,5.274762,8.405395,1.308322
0.105209,5.18094,8.392131,1.349726
0.105977,5.088102,8.376881,1.391814
0.106745,4.996263,8.35968,1.434579
0.107513,4.905435,8.340565,1.47801
0.10828,4.815632,8.319574,1.522098
0.109048,4.726865,8.296745,1.566834
0.109816,4.639142,8.272116,1.612206
0.110584,4.552473,8.245726,1.658204
0.111352,4.466866,8.217614,1.704815
0.11212,4.382328,8.18782,1.752029
0.112888,4.298864,8.156384,1.799831
0.113656,4.216479,8.123345,1.848208
0.114424,4.135177,8.088744,1.897147
0.115192,4.054962,8.052622,1.946634
0.11596,3.975836,8.015018,1.996653
0.116728,3.8978,7.975974,2.04719
0.117496,3.820855,7.93553,2.098228
0.118264,3.745001,7.893727,2.149752
0.119032,3.670238,7.850605,2.201745
0.1198,3.596564,7.806206,2.25419
0.120568,3.523977,7.760569,2.307069
0.121336,3.452475,7.713736,2.360364
0.122104,3.382055,7.665746,2.414059
0.122871,3.312713,7.616639,2.468132
0.123639,3.244444,7.566455,2.522567
0.124407,3.177245,7.515235,2.577344
0.125175,3.111109,7.463017,2.632442
0.125943,3.046031,7.409841,2.687843
0.126711,2.982006,7.355745,2.743526
0.127479,2.919026,7.300768,2.79947
0.128247,2.857084,7.244948,2.855655
0.129015,2.796174,7.188323,2.912059
0.129783,2.736288,7.13093,2.968663
0.130551,2.677418,7.072806,3.025443
0.131319,2.619555,7.013989,3.082379
0.132087,2.562691,6.954513,3.13945
0.132855,2.506818,6.894415,3.196632
0.133623,2.451926,6.83373,3.253904
0.134391,2.398006,6.772493,3.311244
0.135159,2.345048,6.710737,3.368629
0.135927,2.293043,6.648498,3.426037
0.136694,2.241981,6.585807,3.483446
0.137462,2.191852,6.522699,3.540834
0.13823,2.142645,6.459204,3.598176
0.138998,2.094351,6.395355,3.655452
0.139766,2.046958,6.331182,3.712639
0.140534,2.000456,6.266717,3.769713
0.141302,1.954835,6.201989,3.826652
0.14207,1.910083,6.137028,3.883435
0.142838,1.866189,6.071863,3.940038
0.143606,1.823144,6.006521,3.996438
0.144374,1.780935,5.941031,4.052615
0.145142,1.739551,5.875419,4.108546
0.14591,1.698982,5.809713,4.164208
0.146678,1.659216,5.743937,4.219579
0.147446,1.620242,5.678119,4.274639
0.148214,1.582049,5.612281,4.329365
0.148982,1.544626,5.546449,4.383736
0.14975,1.507961,5.480646,4.437731
0.150518,1.472043,5.414895,4.491328
0.151285,1.436862,5.349218,4.544508
0.152053,1.402405,5.283638,4.597249
0.152821,1.368662,5.218175,4.649531
0.153589,1.335622,5.15285,4.701334
0.154357,1.303274,5.087683,4.752638
0.155125,1.271606,5.022694,4.803424
0.155893,1.240608,4.957902,4.853673
0.156661,1.210269,4.893324,4.903366
0.157429,1.180578,4.82898,4.952484
0.158197,1.151524,4.764885,5.001008
0.158965,1.123096,4.701057,5.048922
0.159733,1.095285,4.637512,5.096208
0.160501,1.068079,4.574266,5.142847
0.161269,1.041468,4.511333,5.188824
0.162037,1.015441,4.448728,5.234122
0.162805,0.989989,4.386465,5.278725
0.163573,0.965101,4.324557,5.322617
0.164341,0.940767,4.263018,5.365783
0.165109,0.916977,4.20186,5.408209
0.165876,0.893722,4.141095,5.449878
0.166644,0.87099,4.080734,5.490779
0.167412,0.848774,4.020788,5.530896
0.16818,0.827063,3.961268,5.570217
0.168948,0.805847,3.902185,5.608728
0.169716,0.785117,3.843546,5.646419
0.170484,0.764865,3.785362,5.683276
0.171252,0.745081,3.727642,5.719288
0.17202,0.725755,3.670392,5.754444
0.172788,0.706879,3.613622,5.788735
0.173556,0.688445,3.557339,5.822148
0.174324,0.670443,3.501549,5.854676
0.175092,0.652865,3.446259,5.886309
0.17586,0.635702,3.391476,5.917037
0.176628,0.618947,3.337204,5.946854
0.177396,0.602591,3.28345,5.975751
0.178164,0.586625,3.230218,6.00372
0.178932,0.571042,3.177513,6.030755
0.179699,0.555834,3.125339,6.05685
0.180467,0.540994,3.073701,6.081999
0.181235,0.526513,3.022601,6.106196
0.182003,0.512384,2.972043,6.129436
0.182771,0.4986,2.92203,6.151714
0.183539,0.485153,2.872564,6.173028
0.184307,0.472036,2.823648,6.193372
0.185075,0.459243,2.775284,6.212744
0.185843,0.446766,2.727473,6.231141
0.186611,0.434598,2.680217,6.248561
0.187379,0.422733,2.633516,6.265003
0.188147,0.411165,2.587373,6.280464
0.188915,0.399885,2.541786,6.294944
0.189683,0.38889,2.496757,6.308442
0.190451,0.378171,2.452286,6.320959
