case,state_id,state,p_NN,p_NG,p_NB,p_GN,p_GG,p_GB,p_BN,p_BG,p_BB,part1_missing_prob,part1_good_prob,part1_bad_prob,part2_missing_prob,part2_good_prob,part2_bad_prob,defect_prob_if_assemble,best_action,best_action_kind,best_action_part,best_product_test,best_disassemble,one_step_cost,terminal_prob,continuation_prob,self_loop_if_repeated,value
1,0,NN:1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1.0,0,0,,buy_p1_test,buy,1,,,6.666667,0.0,1.0,0,37.077779
1,1,GN:1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0,1.0,0,0,,buy_p2_notest,buy,2,,,18,0.0,1.0,0,30.411112
1,2,GN:0.9;BN:0.1,0.0,0.0,0.0,0.9,0.0,0.0,0.1,0.0,0.0,0,0.9,0.1,1.0,0,0,,buy_p2_notest,buy,2,,,18,0.0,1.0,0,33.077779
1,3,NG:1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,1.0,0,,buy_p1_test,buy,1,,,6.666667,0.0,1.0,0,14.555556
1,4,NG:0.9;NB:0.1,0.0,0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0.9,0.1,,buy_p1_test,buy,1,,,6.666667,0.0,1.0,0,19.077779
1,5,GG:1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1.0,0,0,1.0,0,0.1000000000,assemble_notest_disassemble,assemble,,0,1,7.1,0.9,0.1,0,7.888889
1,6,GG:0.9;GB:0.1,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0,1.0,0,0,0.9,0.1,0.1900000000,assemble_notest_disassemble,assemble,,0,1,8.09,0.81,0.19,0,12.411112
1,7,GG:0.9;BG:0.1,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.1,0.0,0,0.9,0.1,0,1.0,0,0.1900000000,inspect_p1,inspect,1,,,2,0.0,1.0,0,10.555556
1,8,GG:0.81;GB:0.09;BG:0.09;BB:0.01,0.0,0.0,0.0,0.0,0.81,0.09,0.0,0.09,0.01,0,0.9,0.1,0,0.9,0.1,0.2710000000,inspect_p1,inspect,1,,,2,0.0,1.0,0,15.077779
1,9,GG:0.473684;GB:0.526316,0.0,0.0,0.0,0.0,0.473684,0.526316,0.0,0.0,0.0,0,1.0,0,0,0.473684,0.526316,0.5736844000,inspect_p2,inspect,2,,,3,0.0,1.0,0,22.742695
1,10,GG:0.473684;BG:0.526316,0.0,0.0,0.0,0.0,0.473684,0.0,0.0,0.526316,0.0,0,0.473684,0.526316,0,1.0,0,0.5736844000,inspect_p1,inspect,1,,,2,0.0,1.0,0,13.397662
1,11,GG:0.298893;GB:0.332104;BG:0.332103;BB:0.0369,0.0,0.0,0.0,0.0,0.298893,0.332104,0.0,0.332103,0.0369,0,0.630997,0.369003,0,0.630996,0.369004,0.7309963000,inspect_p1,inspect,1,,,2,0.0,1.0,0,23.390314
1,12,GG:0.082569;GB:0.917431,0.0,0.0,0.0,0.0,0.082569,0.917431,0.0,0.0,0.0,0,1.0,0,0,0.082569,0.917431,0.9256879000,inspect_p2,inspect,2,,,3,0.0,1.0,0,31.551475
1,13,GG:0.082569;BG:0.917431,0.0,0.0,0.0,0.0,0.082569,0.0,0.0,0.917431,0.0,0,0.082569,0.917431,0,1.0,0,0.9256879000,inspect_p1,inspect,1,,,2,0.0,1.0,0,16.005096
1,14,NG:0.900001;NB:0.099999,0.0,0.900001,0.099999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0.900001,0.099999,,buy_p1_test,buy,1,,,6.666667,0.0,1.0,0,19.077736
1,15,GN:0.900001;BN:0.099999,0.0,0.0,0.0,0.900001,0.0,0.0,0.099999,0.0,0.0,0,0.900001,0.099999,1.0,0,0,,inspect_p1,inspect,1,,,2,0.0,1.0,0,33.077772
1,16,GG:0.040888;GB:0.454317;BG:0.454316;BB:0.050479,0.0,0.0,0.0,0.0,0.040888,0.454317,0.0,0.454316,0.050479,0,0.495205,0.504795,0,0.495204,0.504796,0.9632008000,inspect_p1,inspect,1,,,2,0.0,1.0,0,27.254805
1,17,GG:0.00892;GB:0.99108,0.0,0.0,0.0,0.0,0.00892,0.99108,0.0,0.0,0.0,0,1.0,0,0,0.00892,0.99108,0.9919720000,inspect_p2,inspect,2,,,3,0.0,1.0,0,33.210214
1,18,GG:0.00892;BG:0.99108,0.0,0.0,0.0,0.0,0.00892,0.0,0.0,0.99108,0.0,0,0.00892,0.99108,0,1.0,0,0.9919720000,inspect_p1,inspect,1,,,2,0.0,1.0,0,16.496089
1,19,GG:0.900001;GB:0.099999,0.0,0.0,0.0,0.0,0.900001,0.099999,0.0,0.0,0.0,0,1.0,0,0,0.900001,0.099999,0.1899991000,assemble_notest_disassemble,assemble,,0,1,8.08999,0.8100009,0.1899991,0,12.411069
1,20,GG:0.810001;GB:0.089999;BG:0.09;BB:0.01,0.0,0.0,0.0,0.0,0.810001,0.089999,0.0,0.09,0.01,0,0.9,0.1,0,0.900001,0.099999,0.2709991000,inspect_p1,inspect,1,,,2,0.0,1.0,0,15.07774
1,21,GG:0.900001;BG:0.099999,0.0,0.0,0.0,0.0,0.900001,0.0,0.0,0.099999,0.0,0,0.900001,0.099999,0,1.0,0,0.1899991000,inspect_p1,inspect,1,,,2,0.0,1.0,0,10.555549
1,22,GG:0.810001;GB:0.09;BG:0.089999;BB:0.01,0.0,0.0,0.0,0.0,0.810001,0.09,0.0,0.089999,0.01,0,0.900001,0.099999,0,0.9,0.1,0.2709991000,inspect_p1,inspect,1,,,2,0.0,1.0,0,15.077776
1,23,GG:0.082568;GB:0.917432,0.0,0.0,0.0,0.0,0.082568,0.917432,0.0,0.0,0.0,0,1.0,0,0,0.082568,0.917432,0.9256888000,inspect_p2,inspect,2,,,3,0.0,1.0,0,31.551497
1,24,GG:0.082568;BG:0.917432,0.0,0.0,0.0,0.0,0.082568,0.0,0.0,0.917432,0.0,0,0.082568,0.917432,0,1.0,0,0.9256888000,inspect_p1,inspect,1,,,2,0.0,1.0,0,16.005102
1,25,GG:0.004245;GB:0.471674;BG:0.471673;BB:0.052408,0.0,0.0,0.0,0.0,0.004245,0.471674,0.0,0.471673,0.052408,0,0.475919,0.524081,0,0.475918,0.524082,0.9961795000,inspect_p1,inspect,1,,,2,0.0,1.0,0,27.803673
1,26,GG:0.000899;GB:0.999101,0.0,0.0,0.0,0.0,0.000899,0.999101,0.0,0.0,0.0,0,1.0,0,0,0.000899,0.999101,0.9991909000,inspect_p2,inspect,2,,,3,0.0,1.0,0,33.390865
1,27,GG:0.000899;BG:0.999101,0.0,0.0,0.0,0.0,0.000899,0.0,0.0,0.999101,0.0,0,0.000899,0.999101,0,1.0,0,0.9991909000,inspect_p1,inspect,1,,,2,0.0,1.0,0,16.549562
1,28,GG:0.473687;GB:0.526313,0.0,0.0,0.0,0.0,0.473687,0.526313,0.0,0.0,0.0,0,1.0,0,0,0.473687,0.526313,0.5736817000,inspect_p2,inspect,2,,,3,0.0,1.0,0,22.742628
1,29,GN:0.899999;BN:0.100001,0.0,0.0,0.0,0.899999,0.0,0.0,0.100001,0.0,0.0,0,0.899999,0.100001,1.0,0,0,,buy_p2_notest,buy,2,,,18,0.0,1.0,0,33.077781
1,30,GG:0.298894;GB:0.332101;BG:0.332105;BB:0.0369,0.0,0.0,0.0,0.0,0.298894,0.332101,0.0,0.332105,0.0369,0,0.630995,0.369005,0,0.630999,0.369001,0.7309954000,inspect_p1,inspect,1,,,2,0.0,1.0,0,23.390264
1,31,GG:0.473687;BG:0.526313,0.0,0.0,0.0,0.0,0.473687,0.0,0.0,0.526313,0.0,0,0.473687,0.526313,0,1.0,0,0.5736817000,inspect_p1,inspect,1,,,2,0.0,1.0,0,13.397642
1,32,NG:0.899999;NB:0.100001,0.0,0.899999,0.100001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0.899999,0.100001,,buy_p1_notest,buy,1,,,4,0.0,1.0,0,19.077818
1,33,GG:0.298894;GB:0.332105;BG:0.332101;BB:0.0369,0.0,0.0,0.0,0.0,0.298894,0.332105,0.0,0.332101,0.0369,0,0.630999,0.369001,0,0.630995,0.369005,0.7309954000,inspect_p1,inspect,1,,,2,0.0,1.0,0,23.390337
1,34,GG:0.000426;GB:0.473483;BG:0.473482;BB:0.052609,0.0,0.0,0.0,0.0,0.000426,0.473483,0.0,0.473482,0.052609,0,0.473909,0.526091,0,0.473908,0.526092,0.9996166000,inspect_p1,inspect,1,,,2,0.0,1.0,0,27.860879
1,35,GG:9e-05;GB:0.99991,0.0,0.0,0.0,0.0,9e-05,0.99991,0.0,0.0,0.0,0,1.0,0,0,9e-05,0.99991,0.9999190000,inspect_p2,inspect,2,,,3,0.0,1.0,0,33.409085
1,36,GG:9e-05;BG:0.99991,0.0,0.0,0.0,0.0,9e-05,0.0,0.0,0.99991,0.0,0,9e-05,0.99991,0,1.0,0,0.9999190000,inspect_p1,inspect,1,,,2,0.0,1.0,0,16.554956
1,37,GG:0.08257;GB:0.91743,0.0,0.0,0.0,0.0,0.08257,0.91743,0.0,0.0,0.0,0,1.0,0,0,0.08257,0.91743,0.9256870000,inspect_p2,inspect,2,,,3,0.0,1.0,0,31.551452
