strategy,feasible,expected_cost,expected_profit,num_states,infeasible_reason
0000000000000000,1,441.536038,-241.536038,1122,
0000000000000001,0,inf,-inf,0,Singular matrix
0000000000000010,1,361.152028,-161.152028,1122,
0000000000000011,0,inf,-inf,0,Singular matrix
0000000000000100,1,441.536038,-241.536038,1122,
0000000000000101,0,inf,-inf,0,Singular matrix
0000000000000110,1,361.152028,-161.152028,1122,
0000000000000111,0,inf,-inf,0,Singular matrix
0000000000001000,1,441.536038,-241.536038,1122,
0000000000001001,0,inf,-inf,0,Singular matrix
0000000000001010,1,361.152028,-161.152028,1122,
0000000000001011,0,inf,-inf,0,Singular matrix
0000000000001100,1,441.536038,-241.536038,1122,
0000000000001101,0,inf,-inf,0,Singular matrix
0000000000001110,1,361.152028,-161.152028,1122,
0000000000001111,0,inf,-inf,0,Singular matrix
0000000000010000,1,441.536038,-241.536038,1122,
0000000000010001,0,inf,-inf,0,Singular matrix
0000000000010010,1,361.152028,-161.152028,1122,
0000000000010011,0,inf,-inf,0,Singular matrix
0000000000010100,1,441.536038,-241.536038,1122,
0000000000010101,0,inf,-inf,0,Singular matrix
0000000000010110,1,361.152028,-161.152028,1122,
0000000000010111,0,inf,-inf,0,Singular matrix
0000000000011000,1,441.536038,-241.536038,1122,
0000000000011001,0,inf,-inf,0,Singular matrix
0000000000011010,1,361.152028,-161.152028,1122,
0000000000011011,0,inf,-inf,0,Singular matrix
0000000000011100,1,441.536038,-241.536038,1122,
0000000000011101,0,inf,-inf,0,Singular matrix
0000000000011110,1,361.152028,-161.152028,1122,
0000000000011111,0,inf,-inf,0,Singular matrix
0000000000100000,1,352.069475,-152.069475,1203,
0000000000100001,0,inf,-inf,0,Singular matrix
0000000000100010,1,304.309532,-104.309532,1203,
0000000000100011,0,inf,-inf,0,Singular matrix
0000000000100100,0,inf,-inf,0,Singular matrix
0000000000100101,0,inf,-inf,0,Singular matrix
0000000000100110,0,inf,-inf,0,Singular matrix
0000000000100111,0,inf,-inf,0,Singular matrix
0000000000101000,1,352.069475,-152.069475,1203,
0000000000101001,0,inf,-inf,0,Singular matrix
0000000000101010,1,304.309532,-104.309532,1203,
0000000000101011,0,inf,-inf,0,Singular matrix
0000000000101100,0,inf,-inf,0,Singular matrix
0000000000101101,0,inf,-inf,0,Singular matrix
0000000000101110,0,inf,-inf,0,Singular matrix
0000000000101111,0,inf,-inf,0,Singular matrix
0000000000110000,1,352.069475,-152.069475,1203,
0000000000110001,0,inf,-inf,0,Singular matrix
0000000000110010,1,304.309532,-104.309532,1203,
0000000000110011,0,inf,-inf,0,Singular matrix
0000000000110100,0,inf,-inf,0,Singular matrix
0000000000110101,0,inf,-inf,0,Singular matrix
0000000000110110,0,inf,-inf,0,Singular matrix
0000000000110111,0,inf,-inf,0,Singular matrix
0000000000111000,1,352.069475,-152.069475,1203,
0000000000111001,0,inf,-inf,0,Singular matrix
0000000000111010,1,304.309532,-104.309532,1203,
0000000000111011,0,inf,-inf,0,Singular matrix
0000000000111100,0,inf,-inf,0,Singular matrix
0000000000111101,0,inf,-inf,0,Singular matrix
0000000000111110,0,inf,-inf,0,Singular matrix
0000000000111111,0,inf,-inf,0,Singular matrix
0000000001000000,1,326.628085,-126.628085,339,
0000000001000001,0,inf,-inf,0,Singular matrix
0000000001000010,1,287.644136,-87.644136,339,
0000000001000011,0,inf,-inf,0,Singular matrix
0000000001000100,1,326.628085,-126.628085,339,
0000000001000101,0,inf,-inf,0,Singular matrix
0000000001000110,1,287.644136,-87.644136,339,
0000000001000111,0,inf,-inf,0,Singular matrix
0000000001001000,0,inf,-inf,0,Singular matrix
0000000001001001,0,inf,-inf,0,Singular matrix
0000000001001010,0,inf,-inf,0,Singular matrix
0000000001001011,0,inf,-inf,0,Singular matrix
0000000001001100,0,inf,-inf,0,Singular matrix
0000000001001101,0,inf,-inf,0,Singular matrix
0000000001001110,0,inf,-inf,0,Singular matrix
0000000001001111,0,inf,-inf,0,Singular matrix
0000000001010000,1,326.628085,-126.628085,339,
0000000001010001,0,inf,-inf,0,Singular matrix
0000000001010010,1,287.644136,-87.644136,339,
0000000001010011,0,inf,-inf,0,Singular matrix
0000000001010100,1,326.628085,-126.628085,339,
0000000001010101,0,inf,-inf,0,Singular matrix
0000000001010110,1,287.644136,-87.644136,339,
0000000001010111,0,inf,-inf,0,Singular matrix
0000000001011000,0,inf,-inf,0,Singular matrix
0000000001011001,0,inf,-inf,0,Singular matrix
0000000001011010,0,inf,-inf,0,Singular matrix
0000000001011011,0,inf,-inf,0,Singular matrix
0000000001011100,0,inf,-inf,0,Singular matrix
0000000001011101,0,inf,-inf,0,Singular matrix
0000000001011110,0,inf,-inf,0,Singular matrix
0000000001011111,0,inf,-inf,0,Singular matrix
0000000001100000,1,254.191462,-54.191462,348,
0000000001100001,0,inf,-inf,0,Singular matrix
0000000001100010,1,236.612163,-36.612163,348,
0000000001100011,0,inf,-inf,0,Singular matrix
0000000001100100,0,inf,-inf,0,Singular matrix
0000000001100101,0,inf,-inf,0,Singular matrix
0000000001100110,0,inf,-inf,0,Singular matrix
0000000001100111,0,inf,-inf,0,Singular matrix
0000000001101000,0,inf,-inf,0,Singular matrix
0000000001101001,0,inf,-inf,0,Singular matrix
0000000001101010,0,inf,-inf,0,Singular matrix
0000000001101011,0,inf,-inf,0,Singular matrix
0000000001101100,0,inf,-inf,0,Singular matrix
0000000001101101,0,inf,-inf,0,Singular matrix
0000000001101110,0,inf,-inf,0,Singular matrix
0000000001101111,0,inf,-inf,0,Singular matrix
0000000001110000,1,254.191462,-54.191462,348,
0000000001110001,0,inf,-inf,0,Singular matrix
0000000001110010,1,236.612163,-36.612163,348,
0000000001110011,0,inf,-inf,0,Singular matrix
0000000001110100,0,inf,-inf,0,Singular matrix
0000000001110101,0,inf,-inf,0,Singular matrix
0000000001110110,0,inf,-inf,0,Singular matrix
0000000001110111,0,inf,-inf,0,Singular matrix
0000000001111000,0,inf,-inf,0,Singular matrix
0000000001111001,0,inf,-inf,0,Singular matrix
0000000001111010,0,inf,-inf,0,Singular matrix
0000000001111011,0,inf,-inf,0,Singular matrix
0000000001111100,0,inf,-inf,0,Singular matrix
0000000001111101,0,inf,-inf,0,Singular matrix
0000000001111110,0,inf,-inf,0,Singular matrix
0000000001111111,0,inf,-inf,0,Singular matrix
0000000010000000,1,326.628085,-126.628085,147,
0000000010000001,0,inf,-inf,0,Singular matrix
0000000010000010,1,287.644136,-87.644136,147,
0000000010000011,0,inf,-inf,0,Singular matrix
0000000010000100,1,326.628085,-126.628085,147,
0000000010000101,0,inf,-inf,0,Singular matrix
0000000010000110,1,287.644136,-87.644136,147,
0000000010000111,0,inf,-inf,0,Singular matrix
0000000010001000,1,326.628085,-126.628085,147,
0000000010001001,0,inf,-inf,0,Singular matrix
0000000010001010,1,287.644136,-87.644136,147,
0000000010001011,0,inf,-inf,0,Singular matrix
0000000010001100,1,326.628085,-126.628085,147,
0000000010001101,0,inf,-inf,0,Singular matrix
0000000010001110,1,287.644136,-87.644136,147,
0000000010001111,0,inf,-inf,0,Singular matrix
0000000010010000,0,inf,-inf,0,Singular matrix
0000000010010001,0,inf,-inf,0,Singular matrix
0000000010010010,0,inf,-inf,0,Singular matrix
0000000010010011,0,inf,-inf,0,Singular matrix
0000000010010100,0,inf,-inf,0,Singular matrix
0000000010010101,0,inf,-inf,0,Singular matrix
0000000010010110,0,inf,-inf,0,Singular matrix
0000000010010111,0,inf,-inf,0,Singular matrix
0000000010011000,0,inf,-inf,0,Singular matrix
0000000010011001,0,inf,-inf,0,Singular matrix
0000000010011010,0,inf,-inf,0,Singular matrix
0000000010011011,0,inf,-inf,0,Singular matrix
0000000010011100,0,inf,-inf,0,Singular matrix
0000000010011101,0,inf,-inf,0,Singular matrix
0000000010011110,0,inf,-inf,0,Singular matrix
0000000010011111,0,inf,-inf,0,Singular matrix
0000000010100000,1,254.191462,-54.191462,156,
0000000010100001,0,inf,-inf,0,Singular matrix
0000000010100010,1,236.612163,-36.612163,156,
0000000010100011,0,inf,-inf,0,Singular matrix
0000000010100100,0,inf,-inf,0,Singular matrix
0000000010100101,0,inf,-inf,0,Singular matrix
0000000010100110,0,inf,-inf,0,Singular matrix
0000000010100111,0,inf,-inf,0,Singular matrix
0000000010101000,1,254.191462,-54.191462,156,
0000000010101001,0,inf,-inf,0,Singular matrix
0000000010101010,1,236.612163,-36.612163,156,
0000000010101011,0,inf,-inf,0,Singular matrix
0000000010101100,0,inf,-inf,0,Singular matrix
0000000010101101,0,inf,-inf,0,Singular matrix
0000000010101110,0,inf,-inf,0,Singular matrix
0000000010101111,0,inf,-inf,0,Singular matrix
0000000010110000,0,inf,-inf,0,Singular matrix
0000000010110001,0,inf,-inf,0,Singular matrix
0000000010110010,0,inf,-inf,0,Singular matrix
0000000010110011,0,inf,-inf,0,Singular matrix
0000000010110100,0,inf,-inf,0,Singular matrix
0000000010110101,0,inf,-inf,0,Singular matrix
0000000010110110,0,inf,-inf,0,Singular matrix
0000000010110111,0,inf,-inf,0,Singular matrix
0000000010111000,0,inf,-inf,0,Singular matrix
0000000010111001,0,inf,-inf,0,Singular matrix
0000000010111010,0,inf,-inf,0,Singular matrix
0000000010111011,0,inf,-inf,0,Singular matrix
0000000010111100,0,inf,-inf,0,Singular matrix
0000000010111101,0,inf,-inf,0,Singular matrix
0000000010111110,0,inf,-inf,0,Singular matrix
0000000010111111,0,inf,-inf,0,Singular matrix
0000000011000000,1,233.803898,-33.803898,60,
0000000011000001,0,inf,-inf,0,Singular matrix
0000000011000010,1,221.982529,-21.982529,60,
0000000011000011,0,inf,-inf,0,Singular matrix
0000000011000100,1,233.803898,-33.803898,60,
0000000011000101,0,inf,-inf,0,Singular matrix
0000000011000110,1,221.982529,-21.982529,60,
0000000011000111,0,inf,-inf,0,Singular matrix
0000000011001000,0,inf,-inf,0,Singular matrix
0000000011001001,0,inf,-inf,0,Singular matrix
0000000011001010,0,inf,-inf,0,Singular matrix
0000000011001011,0,inf,-inf,0,Singular matrix
0000000011001100,0,inf,-inf,0,Singular matrix
0000000011001101,0,inf,-inf,0,Singular matrix
0000000011001110,0,inf,-inf,0,Singular matrix
0000000011001111,0,inf,-inf,0,Singular matrix
0000000011010000,0,inf,-inf,0,Singular matrix
0000000011010001,0,inf,-inf,0,Singular matrix
0000000011010010,0,inf,-inf,0,Singular matrix
0000000011010011,0,inf,-inf,0,Singular matrix
0000000011010100,0,inf,-inf,0,Singular matrix
0000000011010101,0,inf,-inf,0,Singular matrix
0000000011010110,0,inf,-inf,0,Singular matrix
0000000011010111,0,inf,-inf,0,Singular matrix
0000000011011000,0,inf,-inf,0,Singular matrix
0000000011011001,0,inf,-inf,0,Singular matrix
0000000011011010,0,inf,-inf,0,Singular matrix
0000000011011011,0,inf,-inf,0,Singular matrix
0000000011011100,0,inf,-inf,0,Singular matrix
0000000011011101,0,inf,-inf,0,Singular matrix
0000000011011110,0,inf,-inf,0,Singular matrix
0000000011011111,0,inf,-inf,0,Singular matrix
0000000011100000,1,177.264983,22.735017,61,
0000000011100001,1,161.982929,38.017071,61,
0000000011100010,1,179.487206,20.512794,61,
0000000011100011,1,164.205152,35.794848,61,
0000000011100100,0,inf,-inf,0,Singular matrix
