seed,best_strategy,best_cost,best_profit,best_feasible,best_num_states,evaluated_count,hit_global_best
2024,1111111111111101,139.777778,60.222222,1,18,748,1
2025,1111111111111101,139.777778,60.222222,1,18,612,1
2026,1111111111111101,139.777778,60.222222,1,18,732,1
2027,1111111111111101,139.777778,60.222222,1,18,633,1
2028,1111111111111101,139.777778,60.222222,1,18,571,1
2029,1111111111111101,139.777778,60.222222,1,18,725,1
2030,1111111111111101,139.777778,60.222222,1,18,715,1
2031,1111111111111101,139.777778,60.222222,1,18,684,1
2032,1111111111111101,139.777778,60.222222,1,18,819,1
2033,1111111111111101,139.777778,60.222222,1,18,578,1
2034,1111111111111101,139.777778,60.222222,1,18,558,1
2035,1111111111111101,139.777778,60.222222,1,18,628,1
2036,1111111111111101,139.777778,60.222222,1,18,706,1
2037,1111111111111101,139.777778,60.222222,1,18,679,1
2038,1111111111111101,139.777778,60.222222,1,18,687,1
2039,1111111111111101,139.777778,60.222222,1,18,693,1
2040,1111111111111101,139.777778,60.222222,1,18,639,1
2041,1111111111111101,139.777778,60.222222,1,18,499,1
2042,1111111111111101,139.777778,60.222222,1,18,690,1
2043,1111111111111101,139.777778,60.222222,1,18,676,1
