rank,strategy,feasible,expected_cost,expected_profit,num_states,infeasible_reason
1,1111111111111101,1,139.777778,60.222222,18,
2,1111111111111001,1,141.950617,58.049383,18,
3,1111111111111111,1,142.0,58.0,18,
4,1111111011111001,1,142.197531,57.802469,20,
5,1111111111101101,1,142.320988,57.679012,18,
6,1111111111110101,1,142.320988,57.679012,18,
7,1101111111101101,1,142.979424,57.020576,20,
8,1111101111110101,1,142.979424,57.020576,20,
9,1111110011111001,1,144.11797,55.88203,25,
10,1111110111111001,1,144.11797,55.88203,21,
