n,nominal_rate,k,posterior,posterior_mean,posterior_std,ci95_lower,ci95_upper,mean_minus_nominal
40,0.05,2,"Beta(3.0,39.0)",0.0714285714,0.0392743868,0.0153514715,0.1653333534,0.0214285714
40,0.1,4,"Beta(5.0,37.0)",0.119047619,0.0493858287,0.0408067262,0.2313145493,0.019047619
40,0.2,8,"Beta(9.0,33.0)",0.2142857143,0.0625741136,0.1056080332,0.3486654675,0.0142857143
100,0.05,5,"Beta(6.0,96.0)",0.0588235294,0.0231842183,0.0221105724,0.1117550586,0.0088235294
100,0.1,10,"Beta(11.0,91.0)",0.1078431373,0.03056316,0.0556372238,0.1745528261,0.0078431373
100,0.2,20,"Beta(21.0,81.0)",0.2058823529,0.0398412882,0.1335547103,0.2891228982,0.0058823529
200,0.05,10,"Beta(11.0,191.0)",0.0544554455,0.015926254,0.0276324822,0.0895891442,0.0044554455
200,0.1,20,"Beta(21.0,181.0)",0.103960396,0.0214214836,0.0658458579,0.1494865335,0.003960396
200,0.2,40,"Beta(41.0,161.0)",0.202970297,0.028229649,0.1505352868,0.2609733358,0.002970297
1000,0.05,50,"Beta(51.0,951.0)",0.0508982036,0.0069399631,0.0381668337,0.0653256937,0.0008982036
1000,0.1,100,"Beta(101.0,901.0)",0.1007984032,0.0095061551,0.0829363985,0.1201691299,0.0007984032
1000,0.2,200,"Beta(201.0,801.0)",0.2005988024,0.0126443381,0.1763923775,0.2259371611,0.0005988024
10000,0.05,500,"Beta(501.0,9501.0)",0.050089982,0.0021809793,0.0459012686,0.0544490949,8.9982e-05
10000,0.1,1000,"Beta(1001.0,9001.0)",0.100079984,0.0030006161,0.0942751131,0.106036332,7.9984e-05
10000,0.2,2000,"Beta(2001.0,8001.0)",0.200059988,0.0039998499,0.1922775516,0.2079560361,5.9988e-05
