case,n,strategy,feasible_fixed,fixed_expected_profit,feasible_bayes,bayes_expected_profit,bayes_profit_sd,bayes_profit_q05
1,40,0000,1,15.360768,1,11.764432,5.195274,2.218221
1,40,0001,0,-inf,0,-inf,inf,-inf
1,40,0010,1,13.475995,1,10.196982,4.736867,1.493084
1,40,0011,0,-inf,0,-inf,inf,-inf
1,40,0100,1,13.440329,1,10.192632,4.75016,1.473199
1,40,0101,0,-inf,0,-inf,inf,-inf
1,40,0110,1,11.144033,1,8.088792,4.449379,-0.028442
1,40,0111,0,-inf,0,-inf,inf,-inf
1,40,1000,1,16.73251,1,14.241513,4.072877,6.64889
1,40,1001,0,-inf,0,-inf,inf,-inf
1,40,1010,1,14.436214,1,12.130851,3.746867,5.165661
1,40,1011,0,-inf,0,-inf,inf,-inf
1,40,1100,1,15.333333,1,13.307952,3.366087,6.959718
1,40,1101,1,18.111111,1,16.899511,1.876434,13.444845
1,40,1110,1,12.666667,1,10.726541,3.191618,4.753945
1,40,1111,1,15.444444,1,14.318101,1.756514,11.078798
2,40,0000,1,-4.40625,1,-9.89814,10.687109,-29.439961
2,40,0001,0,-inf,0,-inf,inf,-inf
2,40,0010,1,-4.546875,1,-9.554186,9.744129,-27.371729
2,40,0011,0,-inf,0,-inf,inf,-inf
2,40,0100,1,-4.015625,1,-8.74616,9.3458,-25.506616
2,40,0101,0,-inf,0,-inf,inf,-inf
2,40,0110,1,-5.328125,1,-9.807694,8.810443,-25.59043
2,40,0111,0,-inf,0,-inf,inf,-inf
2,40,1000,1,3.40625,1,-0.125881,7.615684,-13.857608
2,40,1001,0,-inf,0,-inf,inf,-inf
2,40,1010,1,2.09375,1,-1.182083,7.022616,-13.856195
2,40,1011,0,-inf,0,-inf,inf,-inf
2,40,1100,1,4.8125,1,2.121014,5.969357,-8.607238
2,40,1101,1,12.0,1,10.517642,3.04667,5.054317
2,40,1110,1,2.5625,1,-0.030118,5.692266,-10.295798
2,40,1111,1,9.75,1,8.36651,2.858338,3.261328
3,40,0000,1,6.438957,1,0.233302,8.826243,-16.000131
3,40,0001,0,-inf,0,-inf,inf,-inf
3,40,0010,1,13.475995,1,10.159179,4.717475,1.482689
3,40,0011,0,-inf,0,-inf,inf,-inf
3,40,0100,1,7.8107,1,3.023521,7.218287,-9.985956
3,40,0101,0,-inf,0,-inf,inf,-inf
3,40,0110,1,11.144033,1,8.071559,4.431342,0.038886
3,40,0111,0,-inf,0,-inf,inf,-inf
3,40,1000,1,11.102881,1,7.055197,6.63621,-5.098489
