strategy,feasible_fixed,fixed_expected_profit,feasible_bayes,bayes_expected_profit,bayes_profit_sd,bayes_profit_q05
0000000000000000,1,-241.536038,1,-406.428265,,
0000000000000001,0,-inf,0,-inf,,
0000000000000010,1,-161.152028,1,-284.821199,,
0000000000000011,0,-inf,0,-inf,,
0000001000000000,1,-199.755705,1,-336.86784,,
0000001000000001,0,-inf,0,-inf,,
0000001000000010,1,-131.410097,1,-235.000317,,
0000001000000011,0,-inf,0,-inf,,
0000000100000000,1,-204.712694,1,-344.47663,,
0000000100000001,0,-inf,0,-inf,,
0000000100000010,1,-136.367085,1,-242.462868,,
0000000100000011,0,-inf,0,-inf,,
0000001100000000,1,-165.977368,1,-281.313451,,
0000001100000001,0,-inf,0,-inf,,
0000001100000010,1,-108.466321,1,-196.654932,,
0000001100000011,0,-inf,0,-inf,,
0000000000100000,1,-152.069475,1,-260.01802,,
0000000000100001,0,-inf,0,-inf,,
0000000000100010,1,-104.309532,1,-190.488515,,
0000000000100011,0,-inf,0,-inf,,
0000001000100000,1,-147.112486,1,-250.837374,,
0000001000100001,0,-inf,0,-inf,,
0000001000100010,1,-99.352543,1,-181.307869,,
0000001000100011,0,-inf,0,-inf,,
0000000100100000,1,-152.069475,1,-257.998845,,
0000000100100001,0,-inf,0,-inf,,
0000000100100010,1,-104.309532,1,-188.46934,,
0000000100100011,0,-inf,0,-inf,,
0000001100100000,1,-146.475159,1,-247.922293,,
0000001100100001,0,-inf,0,-inf,,
0000001100100010,1,-98.715216,1,-178.392788,,
0000001100100011,0,-inf,0,-inf,,
0000000000000100,1,-241.536038,1,-406.428265,,
0000000000000101,0,-inf,0,-inf,,
0000000000000110,1,-161.152028,1,-284.821199,,
0000000000000111,0,-inf,0,-inf,,
0000001000000100,1,-199.755705,1,-336.86784,,
0000001000000101,0,-inf,0,-inf,,
0000001000000110,1,-131.410097,1,-235.000317,,
0000001000000111,0,-inf,0,-inf,,
0000000100000100,1,-204.712694,1,-344.47663,,
0000000100000101,0,-inf,0,-inf,,
0000000100000110,1,-136.367085,1,-242.462868,,
0000000100000111,0,-inf,0,-inf,,
0000001100000100,1,-165.977368,1,-281.313451,,
0000001100000101,0,-inf,0,-inf,,
0000001100000110,1,-108.466321,1,-196.654932,,
0000001100000111,0,-inf,0,-inf,,
0000000000100100,0,-inf,0,-inf,,
0000000000100101,0,-inf,0,-inf,,
0000000000100110,0,-inf,0,-inf,,
0000000000100111,0,-inf,0,-inf,,
0000001000100100,0,-inf,0,-inf,,
0000001000100101,0,-inf,0,-inf,,
0000001000100110,0,-inf,0,-inf,,
0000001000100111,0,-inf,0,-inf,,
0000000100100100,0,-inf,0,-inf,,
0000000100100101,0,-inf,0,-inf,,
0000000100100110,0,-inf,0,-inf,,
0000000100100111,0,-inf,0,-inf,,
0000001100100100,1,-140.86668,1,-238.941492,,
0000001100100101,0,-inf,0,-inf,,
0000001100100110,1,-93.106737,1,-169.411987,,
0000001100100111,0,-inf,0,-inf,,
0001000000000000,1,-197.631282,1,-333.249141,,
0001000000000001,0,-inf,0,-inf,,
0001000000000010,1,-129.285673,1,-231.415935,,
0001000000000011,0,-inf,0,-inf,,
0001001000000000,1,-159.604097,1,-271.489531,,
0001001000000001,0,-inf,0,-inf,,
0001001000000010,1,-102.09305,1,-186.977288,,
0001001000000011,0,-inf,0,-inf,,
0001000100000000,1,-164.065387,1,-278.182241,,
0001000100000001,0,-inf,0,-inf,,
0001000100000010,1,-106.554339,1,-193.53888,,
0001000100000011,0,-inf,0,-inf,,
0001001100000000,1,-128.821198,1,-222.1215,,
0001001100000001,0,-inf,0,-inf,,
0001001100000010,1,-81.061255,1,-152.70752,,
0001001100000011,0,-inf,0,-inf,,
0001000000100000,1,-115.959937,1,-202.872511,,
0001000000100001,0,-inf,0,-inf,,
0001000000100010,1,-76.975988,1,-146.736527,,
0001000000100011,0,-inf,0,-inf,,
0001001000100000,1,-111.498647,1,-194.817513,,
0001001000100001,0,-inf,0,-inf,,
0001001000100010,1,-72.514699,1,-138.68153,,
0001001000100011,0,-inf,0,-inf,,
0001000100100000,1,-115.959937,1,-201.103967,,
0001000100100001,0,-inf,0,-inf,,
0001000100100010,1,-76.975988,1,-144.967983,,
0001000100100011,0,-inf,0,-inf,,
0001001100100000,1,-110.925053,1,-192.262711,,
0001001100100001,0,-inf,0,-inf,,
0001001100100010,1,-71.941104,1,-136.126728,,
0001001100100011,0,-inf,0,-inf,,
0001000000000100,1,-197.631282,1,-333.249141,,
0001000000000101,0,-inf,0,-inf,,
0001000000000110,1,-129.285673,1,-231.415935,,
0001000000000111,0,-inf,0,-inf,,
0001001000000100,1,-159.604097,1,-271.489531,,
0001001000000101,0,-inf,0,-inf,,
0001001000000110,1,-102.09305,1,-186.977288,,
0001001000000111,0,-inf,0,-inf,,
0001000100000100,1,-164.065387,1,-278.182241,,
0001000100000101,0,-inf,0,-inf,,
