seed,best_strategy,best_expected_profit,best_profit_sd,best_profit_q05,evaluated_count_so_far
4024,1111111111111101,55.057279,4.859284,46.3376,647
4025,1111111111111101,55.057279,4.859284,46.3376,1189
4026,1111111111111101,55.057279,4.859284,46.3376,1675
4027,1111111111111101,55.057279,4.859284,46.3376,2107
4028,1111111111111101,55.057279,4.859284,46.3376,2553
4029,1111111111111101,55.057279,4.859284,46.3376,2988
4030,1111111111111101,55.057279,4.859284,46.3376,3384
4031,1111111111111101,55.057279,4.859284,46.3376,3751
4032,1111111111111101,55.057279,4.859284,46.3376,4153
4033,1111111111111101,55.057279,4.859284,46.3376,4539
4034,1111111111111101,55.057279,4.859284,46.3376,4903
4035,1111111111111101,55.057279,4.859284,46.3376,5245
4036,1111111111111101,55.057279,4.859284,46.3376,5607
4037,1111111111111101,55.057279,4.859284,46.3376,5890
4038,1111111111111101,55.057279,4.859284,46.3376,6228
4039,1111111111111101,55.057279,4.859284,46.3376,6546
4040,1111111111111101,55.057279,4.859284,46.3376,6807
4041,1111111111111101,55.057279,4.859284,46.3376,7140
4042,1111111111111101,55.057279,4.859284,46.3376,7411
4043,1111111111111101,55.057279,4.859284,46.3376,7705
