rank,strategy,feasible_fixed,fixed_expected_profit,feasible_bayes,bayes_expected_profit,bayes_profit_sd,bayes_profit_q05
1,1111111111111101,1,60.222222,1,55.057279,4.859284,46.3376
2,1111111111111111,1,58.0,1,53.791216,3.286045,48.039525
3,1111111111111001,1,58.049383,1,52.279084,5.385716,42.749948
4,1111111111101101,1,57.679012,1,51.812324,5.501238,42.059626
5,1111111111110101,1,57.679012,1,51.798,5.494772,41.869757
6,1111111011111001,1,57.802469,1,51.357365,5.886616,40.727296
7,1111111111111011,1,55.82716,1,51.013021,4.009217,43.956566
8,1111111111101111,1,55.45679,1,50.546261,4.178204,43.046272
9,1111111111110111,1,55.45679,1,50.531937,4.1785,43.170628
10,1111101111110101,1,57.020576,1,50.333036,6.172386,39.304789
