problem,case,n,best_strategy,best_expected_profit,profit_sd,profit_q05,changed_from_n40
q2,1,40,1101,16.910951,1.85618,13.485334,0
q2,2,40,1101,10.525612,3.042806,5.024039,0
q2,3,40,1111,14.274183,1.749813,11.108482,0
q2,4,40,1111,13.58121,2.567216,8.931681,0
q2,5,40,1101,9.023173,2.662232,4.230436,0
q2,6,40,1000,18.86461,2.97227,13.206789,0
q2,1,100,1101,17.612945,1.087085,15.683058,0
q2,2,100,1101,11.444427,1.825779,8.231654,0
q2,3,100,1111,15.002711,1.022957,13.130195,0
q2,4,100,1111,14.288824,1.491782,11.688151,0
q2,5,100,0110,10.699867,2.753853,5.853307,1
q2,6,100,1000,20.354276,1.620801,17.393272,0
q2,1,200,1101,17.884751,0.750934,16.593622,0
q2,2,200,1101,11.733237,1.230025,9.569282,0
q2,3,200,1111,15.215498,0.710154,13.97364,0
q2,4,200,1111,14.52185,1.076261,12.628971,0
q2,5,200,0100,11.28948,2.181079,7.354174,1
q2,6,200,0000,21.013833,1.311026,18.683319,1
q3,,40,1111111111111101,55.057279,4.859284,46.3376,0
q3,,100,1111111111111101,58.162009,2.837077,53.146478,0
q3,,200,1111111111111101,59.183682,1.94179,55.805299,0
