model,population_size,varied_parameter,varied_confidence,fixed_other_confidence,first_accept_sample_size,first_reject_sample_size,first_both_sample_size
binomial,,reject_confidence,0.9,0.9,22,1,22
binomial,,reject_confidence,0.925,0.9,22,2,22
binomial,,reject_confidence,0.95,0.9,22,2,22
binomial,,reject_confidence,0.975,0.9,22,2,22
binomial,,reject_confidence,0.99,0.9,22,2,22
binomial,,accept_confidence,0.8,0.95,16,2,16
binomial,,accept_confidence,0.85,0.95,19,2,19
binomial,,accept_confidence,0.9,0.95,22,2,22
binomial,,accept_confidence,0.95,0.95,29,2,29
binomial,,accept_confidence,0.99,0.95,44,2,44
hypergeometric,1000,reject_confidence,0.9,0.9,22,1,22
hypergeometric,1000,reject_confidence,0.925,0.9,22,2,22
hypergeometric,1000,reject_confidence,0.95,0.9,22,2,22
hypergeometric,1000,reject_confidence,0.975,0.9,22,2,22
hypergeometric,1000,reject_confidence,0.99,0.9,22,2,22
hypergeometric,1000,accept_confidence,0.8,0.95,16,2,16
hypergeometric,1000,accept_confidence,0.85,0.95,18,2,18
hypergeometric,1000,accept_confidence,0.9,0.95,22,2,22
hypergeometric,1000,accept_confidence,0.95,0.95,28,2,28
hypergeometric,1000,accept_confidence,0.99,0.95,43,2,43
